Category,Cent AUROC,Fed AUROC,Delta AUROC,Cent AP,Fed AP,Samples,Anomalies
engine_wiring,0.6611419853982783,0.4510079546692819,0.2101340307289964,0.7115323391598913,0.5175129252282702,607,322
pipe_clip,0.46027446731672084,0.5520043336944745,-0.09172986637775371,0.3916754678011729,0.46672295204432523,337,142
pipe_staple,0.3025550100018185,0.328877977814148,-0.026322967812329512,0.3072971283631044,0.2855647263970197,305,117
tank_screw,0.4550810989738497,0.43869579609400866,0.016385302879841024,0.21847115982640403,0.2160696661415662,413,95
underbody_pipes,0.5109033216311099,0.8601809343775318,-0.349277612746422,0.49470035505958565,0.8588696792131203,345,184
underbody_screw,0.9346405228758171,0.07783719548425432,0.8568033273915628,0.8479382655504794,0.025914064071173082,392,18
