Metric,Centralized,Federated,Δ (Cent - Fed),Winner
AUROC,0.6155347533917711,0.6670283457562238,-0.05149359236445272, Federated
Average Precision,0.438385797820178,0.5266498014639054,-0.08826400364372738, Federated
TPR @ TNR=99%,0.0,0.03189066059225513,-0.03189066059225513, Federated
TPR @ TNR=95%,0.11617312072892938,0.1264236902050114,-0.010250569476082022, Federated
TPR @ TNR=90%,0.19817767653758542,0.2608200455580866,-0.06264236902050116, Federated
