Category,TNR (%),Centralized TPR (%),Federated TPR (%),Delta TPR (%)
engine_wiring,99,11.180124223602485,1.2422360248447204,9.937888198757765
engine_wiring,95,23.60248447204969,6.521739130434782,17.080745341614907
engine_wiring,90,25.77639751552795,10.869565217391305,14.906832298136646
pipe_clip,99,0.0,2.112676056338028,-2.112676056338028
pipe_clip,95,3.5211267605633805,3.5211267605633805,0.0
pipe_clip,90,6.338028169014084,11.267605633802818,-4.929577464788733
pipe_staple,99,0.0,0.0,0.0
pipe_staple,95,3.418803418803419,0.0,3.418803418803419
pipe_staple,90,5.982905982905983,0.0,5.982905982905983
tank_screw,99,2.1052631578947367,2.1052631578947367,0.0
tank_screw,95,3.1578947368421053,4.2105263157894735,-1.0526315789473681
tank_screw,90,6.315789473684211,7.368421052631578,-1.0526315789473675
underbody_pipes,99,0.0,17.391304347826086,-17.391304347826086
underbody_pipes,95,0.0,35.32608695652174,-35.32608695652174
underbody_pipes,90,0.0,53.80434782608695,-53.80434782608695
underbody_screw,99,83.33333333333334,0.0,83.33333333333334
underbody_screw,95,83.33333333333334,0.0,83.33333333333334
underbody_screw,90,94.44444444444444,0.0,94.44444444444444
